[ITEN1 Reference Specific Tension],[ITEN2 Reference Specific Tension],[ITEN1 Actual Specific Tension],[ITEN2 Actual Specific Tension],[ITEN3 Reference Specific Tension],[ITEN4 Reference Specific Tension],[ITEN3 Actual Specific Tension],[ITEN4 Actual Specific Tension],[Rolling Speed]
ITEN1 Reference Specific Tension,ITEN2 Reference Specific Tension,ITEN1 Actual Specific Tension,ITEN2 Actual Specific Tension,ITEN3 Reference Specific Tension,ITEN4 Reference Specific Tension,ITEN3 Actual Specific Tension,ITEN4 Actual Specific Tension,Rolling Speed
76.4797,97.4759,76.4797,97.4759,79.0327,90.6715,79.0327,90.6715,0
76.4797,97.4759,76.4797,97.4759,79.0955,90.6715,79.0955,90.6715,0
76.459,97.4759,76.459,97.4759,79.0955,90.6715,79.0955,90.6715,0
76.459,97.4392,76.459,97.4392,79.0955,90.6715,79.0955,90.6715,0
76.459,97.4392,76.459,97.4392,79.0955,90.6715,79.0955,90.6715,0
76.459,97.4392,76.459,97.4392,79.1387,90.716,79.1387,90.716,0
76.442,97.4392,76.442,97.4392,79.1387,90.716,79.1387,90.716,0
76.442,97.4108,76.442,97.4108,79.1387,90.716,79.1387,90.716,0
76.442,97.4108,76.442,97.4108,79.1387,90.7524,79.1387,90.7524,0
76.442,97.4108,76.442,97.4108,79.1681,90.7524,79.1681,90.7524,0
76.442,97.4108,76.442,97.4108,79.1681,90.7524,79.1681,90.7524,0
76.3631,97.3313,76.3631,97.3313,79.1681,90.7524,79.1681,90.7524,0
76.3631,97.3313,76.3631,97.3313,79.1681,90.719,79.1681,90.719,0
76.3631,97.3313,76.3631,97.3313,79.2639,90.719,79.2639,90.719,0
76.3631,97.3313,76.3631,97.3313,79.2639,90.719,79.2639,90.719,0
76.3087,97.2882,76.3087,97.2882,79.2639,90.719,79.2639,90.719,0
76.3087,97.2882,76.3087,97.2882,79.2639,90.7785,79.2639,90.7785,0
76.3087,97.2882,76.3087,97.2882,79.3069,90.7785,79.3069,90.7785,0
76.3087,97.2882,76.3087,97.2882,79.3069,90.7785,79.3069,90.7785,0
76.2884,97.2725,76.2884,97.2725,79.3069,90.7785,79.3069,90.7785,0
76.2884,97.2725,76.2884,97.2725,79.3069,90.8148,79.3069,90.8148,0
76.2884,97.2725,76.2884,97.2725,79.3583,90.8148,79.3583,90.8148,0
76.2884,97.2725,76.2884,97.2725,79.3583,90.8148,79.3583,90.8148,0
76.2348,97.179,76.2348,97.179,79.3583,90.8148,79.3583,90.8148,0
76.2348,97.179,76.2348,97.179,79.3583,90.8148,79.3583,90.8148,0
76.2348,97.179,76.2348,97.179,79.4307,90.8172,79.4307,90.8172,0
76.1445,97.179,76.1445,97.179,79.4307,90.8172,79.4307,90.8172,0
76.1445,97.0788,76.1445,97.0788,79.4307,90.8172,79.4307,90.8172,0
76.1445,97.0788,76.1445,97.0788,79.4307,90.7707,79.4307,90.7707,0
76.1445,97.0788,76.1445,97.0788,79.4566,90.7707,79.4566,90.7707,0
76.1445,97.0788,76.1445,97.0788,79.4566,90.7707,79.4566,90.7707,0
76.0527,97.0074,76.0527,97.0074,79.4566,90.7707,79.4566,90.7707,0
76.0527,97.0074,76.0527,97.0074,79.4566,90.7339,79.4566,90.7339,0
76.0527,97.0074,76.0527,97.0074,79.4223,90.7339,79.4223,90.7339,0
76.0527,97.0074,76.0527,97.0074,79.4223,90.7339,79.4223,90.7339,0
76.0208,96.9921,76.0208,96.9921,79.4223,90.7339,79.4223,90.7339,0
76.0208,96.9921,76.0208,96.9921,79.4223,90.7162,79.4223,90.7162,0
76.0208,96.9921,76.0208,96.9921,79.3993,90.7162,79.3993,90.7162,0
75.9527,96.9299,75.9527,96.9299,79.3993,90.7162,79.3993,90.7162,0
75.9527,96.9299,75.9527,96.9299,79.3993,90.7162,79.3993,90.7162,0
75.9527,96.9299,75.9527,96.9299,79.3993,90.698,79.3993,90.698,0
75.9527,96.9299,75.9527,96.9299,79.4238,90.698,79.4238,90.698,0
75.8562,96.8683,75.8562,96.8683,79.4238,90.698,79.4238,90.698,0
75.8562,96.8683,75.8562,96.8683,79.4238,90.698,79.4238,90.698,0
75.8562,96.8683,75.8562,96.8683,79.4238,90.698,79.4238,90.698,0
75.8562,96.8683,75.8562,96.8683,79.4015,90.6793,79.4015,90.6793,0
75.7644,96.8683,75.7644,96.8683,79.4015,90.6793,79.4015,90.6793,0
75.7644,96.8106,75.7644,96.8106,79.4015,90.6793,79.4015,90.6793,0
75.7644,96.8106,75.7644,96.8106,79.4015,90.6541,79.4015,90.6541,0
75.7644,96.8106,75.7644,96.8106,79.3287,90.6541,79.3287,90.6541,0
75.7415,96.8106,75.7415,96.8106,79.3287,90.6541,79.3287,90.6541,0
75.7415,96.831,75.7415,96.831,79.3287,90.6541,79.3287,90.6541,0
75.7415,96.831,75.7415,96.831,79.3287,90.6434,79.3287,90.6434,0
75.7415,96.831,75.7415,96.831,79.2378,90.6434,79.2378,90.6434,0
75.7415,96.831,75.7415,96.831,79.2378,90.6434,79.2378,90.6434,0
75.7017,96.8705,75.7017,96.8705,79.2378,90.6434,79.2378,90.6434,0
75.7017,96.8705,75.7017,96.8705,79.2378,90.6223,79.2378,90.6223,0
75.7017,96.8705,75.7017,96.8705,79.1583,90.6223,79.1583,90.6223,0
75.6494,96.8705,75.6494,96.8705,79.1583,90.6223,79.1583,90.6223,0
75.6494,96.9085,75.6494,96.9085,79.1583,90.6223,79.1583,90.6223,0
75.6494,96.9085,75.6494,96.9085,79.1583,90.5826,79.1583,90.5826,0
75.6494,96.9085,75.6494,96.9085,79.0669,90.5826,79.0669,90.5826,0
75.6518,96.9085,75.6518,96.9085,79.0669,90.5826,79.0669,90.5826,0
75.6518,96.9763,75.6518,96.9763,79.0669,90.5826,79.0669,90.5826,0
75.6518,96.9763,75.6518,96.9763,79.0669,90.5826,79.0669,90.5826,0
75.6518,96.9763,75.6518,96.9763,78.9072,90.5451,78.9072,90.5451,0
75.6601,96.9763,75.6601,96.9763,78.9072,90.5451,78.9072,90.5451,0
75.6601,97.0758,75.6601,97.0758,78.9072,90.5451,78.9072,90.5451,0
75.6601,97.0758,75.6601,97.0758,78.9072,90.5318,78.9072,90.5318,0
75.6601,97.0758,75.6601,97.0758,78.8149,90.5318,78.8149,90.5318,0
75.6389,97.0758,75.6389,97.0758,78.8149,90.5318,78.8149,90.5318,0
75.6389,97.1597,75.6389,97.1597,78.8149,90.5318,78.8149,90.5318,0
75.6389,97.1597,75.6389,97.1597,78.8149,90.4775,78.8149,90.4775,0
75.6389,97.1597,75.6389,97.1597,78.7141,90.4775,78.7141,90.4775,0
75.6389,97.1597,75.6389,97.1597,78.7141,90.4775,78.7141,90.4775,0
75.6636,97.2732,75.6636,97.2732,78.7141,90.4775,78.7141,90.4775,0
75.6636,97.2732,75.6636,97.2732,78.7141,90.3945,78.7141,90.3945,0
75.6636,97.2732,75.6636,97.2732,78.6032,90.3945,78.6032,90.3945,0
75.7016,97.2732,75.7016,97.2732,78.6032,90.3945,78.6032,90.3945,0
75.7016,97.3889,75.7016,97.3889,78.6032,90.3945,78.6032,90.3945,0
75.7016,97.3889,75.7016,97.3889,78.6032,90.2732,78.6032,90.2732,0
75.7016,97.3889,75.7016,97.3889,78.3983,90.2732,78.3983,90.2732,0
75.7538,97.3889,75.7538,97.3889,78.3983,90.2732,78.3983,90.2732,0
75.7538,97.5455,75.7538,97.5455,78.3983,90.2732,78.3983,90.2732,0
75.7538,97.5455,75.7538,97.5455,78.3983,90.2732,78.3983,90.2732,0
75.7538,97.5455,75.7538,97.5455,78.2265,90.2819,78.2265,90.2819,0
75.7831,97.6331,75.7831,97.6331,78.2265,90.2819,78.2265,90.2819,0
